#lnL 	x[] 	 df 
1209729.84199	[-3.40119738]	0.0
1209729.84199	[-3.40119737]	0.0
1209671.81442	[-4.40119738]	0.0
1209671.81442	[-4.40119737]	0.0
1210722.76935	[-9.32119738]	0.0
1210722.76934	[-9.32119737]	0.0
1209662.13142	[-4.62524316]	0.0
1209662.13143	[-4.62524315]	0.0
1209657.45524	[-5.34191973]	0.0
1209657.45524	[-5.34191972]	0.0
1209653.40773	[-5.00315305]	0.0
1209653.40773	[-5.00315304]	0.0
1209653.18319	[-5.06050099]	0.0
1209653.18319	[-5.06050098]	0.0
1209653.17898	[-5.06733862]	0.0
1209653.17898	[-5.06733861]	0.0
1209653.17885	[-5.07165713]	0.0
1209653.17885	[-5.07165712]	0.0
1209653.17867	[-5.06941151]	0.0
1209653.17867	[-5.0694115]	0.0
-1178113.8268	-0.729375709467	-0.563766204039	-0.819358282058	2.17701252153	-0.553815879195	1.96820337483	-0.260525600032	-3.40119738166	-3.96192465227	-5.53657729981	-4.69369109256	-3.47324422713	-6.15910288862	-4.68505877176	-5.71769753387	-4.49425689976	-7.79780184157	-4.75260678299	-4.83258783796	-4.97976885778
-1178113.8268	-0.729375709467	-0.563766204039	-0.819358282058	2.17701252153	-0.553815879195	1.96820337483	-0.260525590032	-3.40119737166	-3.96192465227	-5.53657729981	-4.69369109256	-3.47324422713	-6.15910288862	-4.68505877176	-5.71769753387	-4.49425689976	-7.79780184157	-4.75260678299	-4.83258783796	-4.97976885778
-1178087.51854	-0.729375709467	-0.563766204039	-0.819358282058	2.17701252153	-0.553815879195	1.96820337483	-1.26052560003	-4.40119738166	-3.96192465227	-5.53657729981	-4.69369109256	-3.47324422713	-6.15910288862	-4.68505877176	-5.71769753387	-4.49425689976	-7.79780184157	-4.75260678299	-4.83258783796	-4.97976885778
-1178087.51854	-0.729375709467	-0.563766204039	-0.819358282058	2.17701252153	-0.553815879195	1.96820337483	-1.26052559003	-4.40119737166	-3.96192465227	-5.53657729981	-4.69369109256	-3.47324422713	-6.15910288862	-4.68505877176	-5.71769753387	-4.49425689976	-7.79780184157	-4.75260678299	-4.83258783796	-4.97976885778
-1178090.62184	-0.729375709467	-0.563766204039	-0.819358282058	2.17701252153	-0.553815879195	1.96820337483	-1.78325287276	-4.92392465439	-3.96192465227	-5.53657729981	-4.69369109256	-3.47324422713	-6.15910288862	-4.68505877176	-5.71769753387	-4.49425689976	-7.79780184157	-4.75260678299	-4.83258783796	-4.97976885778
-1178090.62184	-0.729375709467	-0.563766204039	-0.819358282058	2.17701252153	-0.553815879195	1.96820337483	-1.78325286276	-4.92392464439	-3.96192465227	-5.53657729981	-4.69369109256	-3.47324422713	-6.15910288862	-4.68505877176	-5.71769753387	-4.49425689976	-7.79780184157	-4.75260678299	-4.83258783796	-4.97976885778
-1178086.40872	-0.729375709467	-0.563766204039	-0.819358282058	2.17701252153	-0.553815879195	1.96820337483	-1.4413575083	-4.58202928993	-3.96192465227	-5.53657729981	-4.69369109256	-3.47324422713	-6.15910288862	-4.68505877176	-5.71769753387	-4.49425689976	-7.79780184157	-4.75260678299	-4.83258783796	-4.97976885778
-1178113.82591	-0.729375615054	-0.563829177102	-0.819342609602	2.17704518822	-0.553798790553	1.96818694707	-0.260518141454	-3.40119738166	-3.96196341881	-5.53657613665	-4.69366985484	-3.47323144986	-6.15908289139	-4.68505805912	-5.71770059356	-4.49423809115	-7.79778849534	-4.75260555198	-4.83257314417	-4.97977593756
-1178113.82591	-0.729375615054	-0.563829177102	-0.819342609602	2.17704518822	-0.553798790553	1.96818694707	-0.260518131454	-3.40119737166	-3.96196341881	-5.53657613665	-4.69366985484	-3.47323144986	-6.15908289139	-4.68505805912	-5.71770059356	-4.49423809115	-7.79778849534	-4.75260555198	-4.83257314417	-4.97977593756
-1178087.51833	-0.729375615054	-0.563829177102	-0.819342609602	2.17704518822	-0.553798790553	1.96818694707	-1.26051814145	-4.40119738166	-3.96196341881	-5.53657613665	-4.69366985484	-3.47323144986	-6.15908289139	-4.68505805912	-5.71770059356	-4.49423809115	-7.79778849534	-4.75260555198	-4.83257314417	-4.97977593756
