#lnL 	x[] 	 df 
641643.086367	[-3.40119738]	0.0
641643.086366	[-3.40119737]	0.0
641615.02382	[-2.40119738]	0.0
641615.02382	[-2.40119737]	0.0
641612.38877	[-2.112467]	0.0
641612.38877	[-2.11246699]	0.0
641610.659172	[-1.72167378]	0.0
641610.659172	[-1.72167377]	0.0
641610.252784	[-1.49104171]	0.0
641610.252784	[-1.4910417]	0.0
641610.129436	[-1.30996695]	0.0
641610.129436	[-1.30996694]	0.0
641610.120655	[-1.24875858]	0.0
641610.120655	[-1.24875857]	0.0
641610.120647	[-1.24609735]	0.0
641610.120647	[-1.24609734]	0.0
