#lnL 	x[] 	 df 
544135.345671	[-3.40119738]	0.0
544135.345671	[-3.40119737]	0.0
544098.925961	[-2.40119738]	0.0
544098.925961	[-2.40119737]	0.0
544096.58045	[-2.17220663]	0.0
544096.58045	[-2.17220662]	0.0
544095.162772	[-1.87428735]	0.0
544095.162772	[-1.87428734]	0.0
544094.927774	[-1.73013286]	0.0
544094.927774	[-1.73013285]	0.0
544094.878673	[-1.64495066]	0.0
544094.878673	[-1.64495065]	0.0
544094.872962	[-1.60932901]	0.0
544094.872962	[-1.609329]	0.0
544094.872691	[-1.59943411]	0.0
544094.872691	[-1.5994341]	0.0
