#lnL 	x[] 	 df 
908026.248556	[-3.40119738]	0.0
908026.248556	[-3.40119737]	0.0
908025.35484	[-4.40119738]	0.0
908025.354839	[-4.40119737]	0.0
908018.949795	[-3.84232438]	0.0
908018.949795	[-3.84232437]	0.0
908018.666494	[-3.99944201]	0.0
908018.666494	[-3.999442]	0.0
908018.595089	[-3.94815789]	0.0
908018.595089	[-3.94815788]	0.0
908018.595172	[-3.94777084]	0.0
908018.595172	[-3.94777083]	0.0
908018.59509	[-3.94815175]	0.0
908018.59509	[-3.94815174]	0.0
908018.595089	[-3.94815775]	0.0
908018.595089	[-3.94815774]	0.0
908018.595089	[-3.94815789]	0.0
908018.595089	[-3.94815788]	0.0
908018.595089	[-3.94815789]	0.0
908018.595089	[-3.94815788]	0.0
908018.595089	[-3.94815789]	0.0
908018.595089	[-3.94815788]	0.0
908018.595089	[-3.94815789]	0.0
908018.595089	[-3.94815788]	0.0
908018.595089	[-3.94815789]	0.0
908018.595089	[-3.94815788]	0.0
908018.595089	[-3.94815789]	0.0
908018.595089	[-3.94815788]	0.0
908018.595089	[-3.94815789]	0.0
908018.595089	[-3.94815788]	0.0
