#lnL 	x[] 	 df 
1272741.2852	[-3.40119738]	0.0
1272741.2852	[-3.40119737]	0.0
1272660.91181	[-4.40119738]	0.0
1272660.91181	[-4.40119737]	0.0
1273528.85358	[-8.40119738]	0.0
1273528.85357	[-8.40119737]	0.0
1272645.71949	[-4.66169427]	0.0
1272645.71949	[-4.66169426]	0.0
1272945.52362	[-6.61019549]	0.0
1272945.52362	[-6.61019548]	0.0
1272639.22822	[-4.87877475]	0.0
1272639.22822	[-4.87877474]	0.0
1272638.71239	[-4.97438772]	0.0
1272638.71239	[-4.97438771]	0.0
1272638.68687	[-4.95642727]	0.0
1272638.68687	[-4.95642726]	0.0
1272638.68679	[-4.95694043]	0.0
1272638.68679	[-4.95694042]	0.0
1272638.68695	[-4.95899305]	0.0
1272638.68695	[-4.95899304]	0.0
1272638.68676	[-4.95768457]	0.0
1272638.68676	[-4.95768456]	0.0
1272638.68677	[-4.9573373]	0.0
1272638.68677	[-4.95733729]	0.0
1272638.68676	[-4.95754077]	0.0
1272638.68676	[-4.95754076]	0.0
1272638.68676	[-4.95762166]	0.0
1272638.68676	[-4.95762165]	0.0
1272638.68676	[-4.95754077]	0.0
1272638.68676	[-4.95754076]	0.0
