#lnL 	x[] 	 df 
1311217.67221	[-3.40119738]	0.0
1311217.67221	[-3.40119737]	0.0
1311182.6767	[-4.40119738]	0.0
1311182.6767	[-4.40119737]	0.0
1311182.86677	[-4.49790068]	0.0
1311182.86677	[-4.49790067]	0.0
1311182.60546	[-4.43440522]	0.0
1311182.60546	[-4.43440521]	0.0
1311182.60544	[-4.43478692]	0.0
1311182.60544	[-4.43478691]	0.0
1311182.60555	[-4.43631371]	0.0
1311182.60555	[-4.4363137]	0.0
1311182.60544	[-4.43500311]	0.0
1311182.60544	[-4.4350031]	0.0
1311182.60544	[-4.43490702]	0.0
1311182.60544	[-4.43490701]	0.0
1311182.60544	[-4.43495062]	0.0
1311182.60544	[-4.43495061]	0.0
1311182.60544	[-4.43500311]	0.0
1311182.60544	[-4.4350031]	0.0
