#lnL 	x[] 	 df 
600299.742269	[-3.40119738]	0.0
600299.742269	[-3.40119737]	0.0
600268.041817	[-4.40119738]	0.0
600268.041817	[-4.40119737]	0.0
600359.256422	[-8.74934553]	0.0
600359.256421	[-8.74934552]	0.0
600246.319708	[-5.48709543]	0.0
600246.319708	[-5.48709542]	0.0
600246.820804	[-6.92065254]	0.0
600246.820803	[-6.92065253]	0.0
600237.220883	[-6.25085609]	0.0
600237.220883	[-6.25085608]	0.0
600237.415918	[-6.43983515]	0.0
600237.415918	[-6.43983514]	0.0
600237.101954	[-6.32268867]	0.0
600237.101954	[-6.32268866]	0.0
600237.102015	[-6.32761268]	0.0
600237.102015	[-6.32761267]	0.0
600237.101863	[-6.32399862]	0.0
600237.101863	[-6.32399861]	0.0
